200	3	10
1	0.03	0.01
1	2	1	12	4	3	A 	1
2	1	3	15	4	4	B	2
3	2	5	13	5	2	D	1
4	0	7	15	2	2	C	2
5	1	7	12	2	5	B	2
6	0	7	12	3	4	A	2
7	1	11	14	4	3	A	1
8	0	12	11	2	2	D	2
9	0	14	14	3	4	C	1
10	0	15	16	3	3	B	4
11	1	15	15	4	4	D	3
12	1	18	12	5	4	B 	2
13	2	20	15	2	3	C	1
14	1	20	10	2	3	D	6
15	2	25	11	4	3	A	7
16	2	27	19	4	5	B	8
17	0	27	11	5	5	A	6
18	1	27	10	2	4	C	5
19	2	30	11	3	4	B	4
20	1	31	12	1	2	A	3
21	2	31	15	4	2	B	7
22	1	31	14	5	2	A	3
23	0	31	14	3	3	D	1
24	0	31 	17	3	4	A	2
25	2	31	16	3	2	D 	3
26	1	31	12	2	3	A	1
27	1	31	14	5	4	C	1
28	0	42	19	5	2	D	5
29	2	42	16	5	3	B	7
30	1	46	10	3	2	B	1
31	1	46	12	2	4	C	2
32	0	49	13	4	5	D	4
33	2	49	14	5	5	C	5
34	0	51	16	2	5	D	6
35	0	52	13	3	3	A 	7
36	0	55	12	2	4	A	3
37	1	55	14	3	5	B	2
38	1	58	15	4	5	D 	1
39	2	58	16	5	3	D	6
40	0	58	13	5	3	D	6
41	1	63	12	3	2	A	1
42	1	63	13	4	4	C	2
43	2	66	14	4	3	A	6
44	2	67	16	3	5	C	2
45	0	67	14	3	3	B	1
46	2	70	16	5	3	C	4	
47 	2	70	14	4	4	A	2
48	0	71	16	3	3	C	1	
49	0	73	15	2	2	B	2
50	1	75	11	3	2	A 	2
-1	
