200	3	25
1	0.03	0.01
1	0	1	10	4	3	A	1
2	2	1	10	4	2	A	2
3	2	1	12	2	2	A  	1
4	2	1	15	3	2	A	2
5	2	1	13	5	4	B	1
6	1	5	16	5	5	C	2
7	2	7	14	2	2	D	3
8	2	7	16	3	3	C	1
9	2	10	12	4	2	D	1
10	1	11	13	4	2	D	2
11	1	12	13	5	4	C	3	
12	2	12	14	3	3	D	2
13	1	15	15	2	4	B	1
14	0	15	15	2	2	D	3
15	2	16	13	4	4	C	2
16	0	17	10	2	4	B	1
17	2	18	9	5	2	C	1
18	1	18	11	3	3	B	1
19	1	18	11	2	3	B	1
20	1	18	9	5	5	B	1
21	1	19	10	2	5	C	1
22	2	20	12	2	2	B	1
23	2	22	15	2	5	D	1
24	2	23	13	3	3	C	1
25	0	26	14	3	4	C	1
26	0	26	15	4	2	B	1
27	0	27	16	5	2	C	2
28	0	29	13	4	2	C	2
29	0	29	16	4	5	B	2
30	0	29	16	3	3	B	3
31	0	30	14	2	2	C	2
32	1	31	12	2	3	D	2
33	2	32	13	4	5	D	1
34	1	34	11	3	4	B	1
35	1	35	9	5	3	D	2
36	1	35	10	2	5	B	1
37	2	35	12	4	2	B	2
38	2	36	10	5	2	D	2
39	0	38	10	3	2	D	2
40	0	38	14	2	3	C	2
41	0	38	12	5	3	B	2
42	1	39	13	3	2	C	2
43	1	39	13	2	2	D	3	
44	2	40	12	4	4	D	1
45	2	40	12	3	4	B	2
46	0	43	14	2	5	B	3
47	1	46	12	5	3	D	2
48	2	46	13	2	2	C	2
49	0	48	14	3	5	C	2
50	1	51	15	3	4	D	3
51	0	53	15	3	2	D	2
52	2	56	15	5	3	D	2
53	0	57	12	3	3	C	1
54	2	57	13	4	2	D	2
55	1	59	14	5	2	B	2
56	0	62	15	3	4	C	2
57	0	65	13	4	4	C	2
58	0	68	12	2	4	C	2
59	2	68	14	2	5	D	2
60	2	70	14	3	5	B	3
61	0	72	15	4	5	D	3
62	1	75	12	2	3	B	2
63	1	76	9	2	3	B	1
65	0	76	9	3	3	D	2	
