100	4	20
2	1.4	3.3
1	0	1	14	4	4	A	2
2	1	2	13	4	2	A	3
3	2	3	20	5	2	A	2
4	0	3	22	3	3	A	4
5	1	3	21	2	5	B	3
6	2	4	12	1	3	B	3
7	2	4	15	4	4	B	2
8	1	13	23	5	3	B	2
9	2	16	22	4	5	C	5
10	0	16	13	2	3	C	4
11	0	16	21	3	2	C	2
12	1	17	22	4	4	C	3
13	2	20	23	2	5	D	2
14	1	21	23	1	4	D	5
15	0	22	21	3	2	D	6
16	1	23	12	2	2	D	4
17	1	23	22	2	4	A	2
18	0	24	11	1	3	A	4
19	0	25	14	5	2	A	2
20	1	25	12	3	4	B	1
21	2	25	23	2	2	B	2
22	2	25	21	4	2	B	3
23	1	27	23	3	2	C	2
24	0	30	22	2	2	C	2
25	1	33	23	3	4	C	6
26	0	33	23	2	4	B	7
-1
